Panther,ᱪᱤᱛᱟ
Lion,ᱠᱟᱴᱟᱣᱟ ᱛᱟ.ᱨᱩᱵ
Tiger,ᱛᱟ.ᱨᱩᱵ
Boar,ᱵᱤᱨ ᱥᱩᱠᱨᱤ
Bear,ᱵᱟᱱᱟ
Monkey,ᱦᱟ.ᱬᱩ
Gorilla,ᱵᱤᱨᱦᱚᱲ
Elephant,ᱦᱟ.ᱛᱤ
Deer,ᱡᱤᱞ
Rabbit,ᱠᱩᱞᱟ.ᱭ
Fox,ᱛᱩᱭᱩ
Hyena,ᱦᱟᱰᱜᱟᱨ
Fawn,ᱡᱤᱞ ᱦᱤᱡ ᱜᱤᱫᱨᱟ.
Squirrel,ᱛᱩᱲ
Rhinoceros,ᱫᱟᱜ ᱦᱟ.ᱛᱤ
Horse,ᱥᱟᱫᱚᱢ
Cat,ᱯᱩᱥᱤ
Ass,ᱜᱟᱫᱷᱟ
Sheep,ᱵᱷᱤᱰᱤ
Camel,ᱩᱸᱴ
Dog,ᱥᱮᱛᱟ
Bitch,ᱮᱸᱜᱟ ᱥᱮᱛᱟ
Cow,ᱜᱟ.ᱭ
Mare,ᱮᱸᱜᱟ ᱥᱟᱫᱚᱢ
Colt,ᱥᱟᱫᱚᱢ ᱜᱤᱫᱽᱨᱟ.
Mouse,ᱪᱩᱴᱩ
He goat,ᱢᱮᱨᱚᱢ
She goat,ᱮᱸᱜᱟ ᱢᱮᱨᱚᱢ
Kid,ᱢᱮᱨᱚᱢ ᱜᱤᱫᱽᱨᱟ.
Calf,ᱫᱟᱢᱠᱚᱢ
Kitten,ᱯᱩᱥᱤ ᱜᱤᱫᱽᱨᱟ.
Ox,ᱰᱟᱝᱨᱟ
Lamb,ᱵᱷᱤᱰᱤ ᱜᱤᱫᱽᱨᱟ.
Buffalo,ᱠᱟᱲᱟ
Hoond,ᱥᱮᱸᱫᱽᱨᱟ ᱥᱮᱛᱟ
Bull,ᱥᱚᱲᱚ
Pig,ᱥᱩᱠᱨᱤ
