Hair,ᱩᱵᱽ
Head,ᱵᱚᱷᱚᱜ
Skull,ᱠᱷᱟᱯᱨᱤ
Spinal cord,ᱵᱤᱥᱤᱡᱟᱲ
Back of head,ᱛᱚᱛᱠᱟ
Brain,"ᱦᱟᱛᱟᱲ, ᱵᱷᱮᱡᱟ"
Forehead,ᱢᱚᱞᱚᱝ
Face,ᱢᱚᱲᱟ
Eye,ᱢᱮᱫ
Eyelid,ᱢᱮᱫ ᱠᱩᱴᱤ
Nose,ᱢᱩᱸ
Cheek,ᱛᱷᱚᱛᱱᱟ
Ear,ᱞᱩᱛᱩᱨ
Mouth,ᱢᱚᱪᱟ
Lip,ᱞᱩᱴᱤ
Palate,ᱛᱟ.ᱨᱩ
Tooth,ᱰᱟᱴᱟ
Tongue,ᱟᱞᱟᱝ
Neck,ᱦᱚᱴᱚᱜᱽ
Shoulder,ᱛᱟᱨᱮᱱ
arm,ᱥᱚᱯᱟ
Skin,ᱦᱟᱨᱛᱟ
Hand,ᱛᱤ
Elbow,ᱢᱚᱠᱟ
Palm,ᱛᱤᱷ ᱛᱟᱞᱠᱷᱟ
Finger,ᱠᱟ.ᱴᱩᱵ
Nail,ᱨᱟᱢᱟ
Thumb,ᱮᱸᱜᱟ ᱠᱟ.ᱴᱩᱵ
Panter,ᱩᱫᱩᱜ ᱠᱟ.ᱴᱩᱵ
Middle finger,ᱥᱤᱫ ᱠᱟ.ᱴᱩᱵ
Ring finger,ᱵᱟᱯᱞᱟ ᱠᱟ.ᱴᱩᱵᱽ
Little finger,ᱦᱩᱰᱤᱧ ᱠᱟ.ᱴᱩᱵ
Chest,ᱠᱚᱲᱟᱢ
Lungs,ᱵᱚᱨᱚ
Heart,ᱤᱱ
Navel,ᱵᱩᱠᱟ.
Back,ᱫᱮᱭᱟ
Rump,ᱰᱩᱵᱷᱤ
Stomach,ᱞᱟᱡᱽ
Waist,ᱰᱟᱸᱰᱟ
genital,ᱢᱩᱛᱩ
Buttock,ᱰᱮᱠᱮ
Bone,ᱡᱟᱝ
Meat,ᱡᱤᱞ
Blood,ᱢᱟᱭᱟᱢ
Thigh,"ᱵᱩᱞᱩ, ᱫᱷᱟᱲᱟ"
Knee,"ᱴᱷᱤᱴᱲᱟᱜ, ᱜᱚᱱᱴᱷᱮ"
Foot,ᱡᱟᱝᱜᱟ
Heel,ᱤᱲᱤ
Feet,ᱡᱟᱝᱜᱟ ᱛᱷᱚᱯᱮ
